node_id,x,y,degree,degree_centrality,betweenness_centrality,node_type
51149,775305.625898,1433052.092123,3,2.2247930942422355e-05,0.10260555139105101,endpoint
75918,779243.907364,1440184.391847,3,2.2247930942422355e-05,0.10211591178526079,intersection
75921,779522.093368,1440193.420328,3,2.2247930942422355e-05,0.10211402069710641,intersection
75920,779479.392766,1440193.308576,3,2.2247930942422355e-05,0.1021079766310444,intersection
75919,779387.679312,1440191.515815,3,2.2247930942422355e-05,0.10209818746883353,intersection
107464,779782.770073,1440191.879342,3,2.2247930942422355e-05,0.1019763978244147,endpoint
75922,779683.606787,1440191.493385,2,1.4831953961614903e-05,0.10195052879289637,endpoint
120778,780090.016312,1440180.441213,3,2.2247930942422355e-05,0.10192862522932733,endpoint
75850,780218.99212,1440173.880712,3,2.2247930942422355e-05,0.10185256096938045,endpoint
132009,781791.446664,1429360.242397,4,2.9663907923229807e-05,0.10153539634726413,intersection
79377,778382.517932,1434415.222635,4,2.9663907923229807e-05,0.10117579730692323,intersection
79376,778635.048847,1434514.680926,4,2.9663907923229807e-05,0.10110162189995553,intersection
